DT_GERACAO,HH_GERACAO,ANO_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,CD_MUN_SIT_BIOMETRICA,DS_MUN_SIT_BIOMETRICA,NR_ZONA,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL,QT_ELEITORES_BIOMETRIA,QT_ELEITORES_DEFICIENCIA,QT_ELEITORES_INC_NM_SOCIAL
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,0,NÃO INFORMADO,0.0,NÃO INFORMADO,8589.0,85 a 89 anos                  ,2.0,LÊ E ESCREVE,1.0,0.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,0,NÃO INFORMADO,1.0,SOLTEIRO,5054.0,50 a 54 anos                  ,4.0,ENSINO FUNDAMENTAL COMPLETO,1.0,0.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,1600.0,16 anos                       ,1.0,ANALFABETO,1.0,1.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,1600.0,16 anos                       ,3.0,ENSINO FUNDAMENTAL INCOMPLETO,7.0,7.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,1600.0,16 anos                       ,6.0,ENSINO MÉDIO COMPLETO,1.0,1.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,1800.0,18 anos                       ,7.0,SUPERIOR INCOMPLETO,54.0,54.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,1900.0,19 anos                       ,8.0,SUPERIOR COMPLETO,2.0,2.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,2124.0,21 a 24 anos                  ,7.0,SUPERIOR INCOMPLETO,663.0,455.0,1.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,2529.0,25 a 29 anos                  ,5.0,ENSINO MÉDIO INCOMPLETO,1770.0,81.0,3.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,2529.0,25 a 29 anos                  ,6.0,ENSINO MÉDIO COMPLETO,2019.0,349.0,2.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,3539.0,35 a 39 anos                  ,2.0,LÊ E ESCREVE,36.0,6.0,1.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,3539.0,35 a 39 anos                  ,4.0,ENSINO FUNDAMENTAL COMPLETO,205.0,29.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,3539.0,35 a 39 anos                  ,5.0,ENSINO MÉDIO INCOMPLETO,1552.0,43.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,4044.0,40 a 44 anos                  ,2.0,LÊ E ESCREVE,78.0,4.0,1.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,4044.0,40 a 44 anos                  ,6.0,ENSINO MÉDIO COMPLETO,730.0,151.0,2.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,4549.0,45 a 49 anos                  ,5.0,ENSINO MÉDIO INCOMPLETO,665.0,16.0,1.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,4549.0,45 a 49 anos                  ,7.0,SUPERIOR INCOMPLETO,101.0,14.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,5054.0,50 a 54 anos                  ,5.0,ENSINO MÉDIO INCOMPLETO,305.0,10.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,5559.0,55 a 59 anos                  ,4.0,ENSINO FUNDAMENTAL COMPLETO,177.0,25.0,1.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,7579.0,75 a 79 anos                  ,4.0,ENSINO FUNDAMENTAL COMPLETO,8.0,1.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,7579.0,75 a 79 anos                  ,5.0,ENSINO MÉDIO INCOMPLETO,2.0,0.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,8084.0,80 a 84 anos                  ,4.0,ENSINO FUNDAMENTAL COMPLETO,2.0,0.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,8589.0,85 a 89 anos                  ,4.0,ENSINO FUNDAMENTAL COMPLETO,2.0,0.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,8589.0,85 a 89 anos                  ,6.0,ENSINO MÉDIO COMPLETO,2.0,0.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,1.0,SOLTEIRO,9599.0,95 a 99 anos                  ,1.0,ANALFABETO,1.0,0.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,3.0,CASADO,2529.0,25 a 29 anos                  ,8.0,SUPERIOR COMPLETO,72.0,71.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,3.0,CASADO,4044.0,40 a 44 anos                  ,1.0,ANALFABETO,3.0,0.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,3.0,CASADO,5054.0,50 a 54 anos                  ,3.0,ENSINO FUNDAMENTAL INCOMPLETO,352.0,125.0,0.0,0.0
12/04/2021,13:55:01,2018,SP,70998,SÃO JOSÉ DOS CAMPOS,0,Sem biometria,127,2,MASCULINO,3.0,CASADO,5559.0,55 a 59 anos                  ,5.0,ENSINO MÉDIO INCOMPLETO,111.0,26.0,0.0,0.0
