DT_GERACAO,HH_GERACAO,AA_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,CD_RACA_COR,DS_RACA_COR,CD_IDENTIDADE_GENERO,DS_IDENTIDADE_GENERO,CD_QUILOMBOLA,DS_QUILOMBOLA,CD_INTERPRETE_LIBRAS,DS_INTERPRETE_LIBRAS,QT_ELEITORES,QT_ELEITORES_BIOMETRIA,QT_ELEITORES_DEFICIENCIA,QT_ELEITORES_NOME_SOCIAL
25/08/2025,19:25:01,2022,SP,71978,TREMEMBÉ,314,4,FEMININO,9,DIVORCIADO,4549,45 a 49 anos,8,SUPERIOR COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,36,35,0,0
25/08/2025,19:25:01,2022,SP,71978,TREMEMBÉ,314,4,FEMININO,9,DIVORCIADO,5559,55 a 59 anos,8,SUPERIOR COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,47,45,1,0
25/08/2025,19:25:01,2022,SP,71978,TREMEMBÉ,314,4,FEMININO,9,DIVORCIADO,6064,60 a 64 anos,2,LÊ E ESCREVE,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,2,2,0,0
25/08/2025,19:25:01,2022,SP,71978,TREMEMBÉ,314,4,FEMININO,9,DIVORCIADO,6064,60 a 64 anos,7,SUPERIOR INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,7,6,0,0
25/08/2025,19:25:01,2022,SP,71978,TREMEMBÉ,314,4,FEMININO,9,DIVORCIADO,7074,70 a 74 anos,5,ENSINO MÉDIO INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,3,3,0,0
25/08/2025,19:25:01,2022,SP,71978,TREMEMBÉ,314,4,FEMININO,9,DIVORCIADO,7579,75 a 79 anos,6,ENSINO MÉDIO COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,8,5,2,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,1600,16 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,1,0,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,1700,17 anos,5,ENSINO MÉDIO INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,163,0,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,1700,17 anos,6,ENSINO MÉDIO COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,15,0,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,1700,17 anos,7,SUPERIOR INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,1,0,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,1800,18 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,9,3,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,1900,19 anos,4,ENSINO FUNDAMENTAL COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,21,7,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,2529,25 a 29 anos,2,LÊ E ESCREVE,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,6,4,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,2529,25 a 29 anos,4,ENSINO FUNDAMENTAL COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,125,90,1,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,3034,30 a 34 anos,2,LÊ E ESCREVE,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,11,9,1,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,3539,35 a 39 anos,5,ENSINO MÉDIO INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,447,164,2,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,4044,40 a 44 anos,8,SUPERIOR COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,264,236,2,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,5054,50 a 54 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,516,334,6,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,7074,70 a 74 anos,2,LÊ E ESCREVE,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,39,27,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,7579,75 a 79 anos,7,SUPERIOR INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,1,0,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,8084,80 a 84 anos,6,ENSINO MÉDIO COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,3,0,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,8589,85 a 89 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,2,1,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,9094,90 a 94 anos,1,ANALFABETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,3,0,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,1,SOLTEIRO,9999,100 anos ou mais,2,LÊ E ESCREVE,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,1,0,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,2000,20 anos,5,ENSINO MÉDIO INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,3,2,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,3034,30 a 34 anos,4,ENSINO FUNDAMENTAL COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,82,73,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,3034,30 a 34 anos,8,SUPERIOR COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,103,94,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,3539,35 a 39 anos,1,ANALFABETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,4,4,1,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,3539,35 a 39 anos,6,ENSINO MÉDIO COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,686,642,3,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,4044,40 a 44 anos,1,ANALFABETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,9,6,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,4044,40 a 44 anos,2,LÊ E ESCREVE,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,19,17,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,4549,45 a 49 anos,4,ENSINO FUNDAMENTAL COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,182,167,3,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,5054,50 a 54 anos,4,ENSINO FUNDAMENTAL COMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,165,151,1,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,5559,55 a 59 anos,7,SUPERIOR INCOMPLETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,52,44,0,0
25/08/2025,19:25:01,2022,SP,72095,UBATUBA,144,2,MASCULINO,3,CASADO,6064,60 a 64 anos,1,ANALFABETO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,-1,NÃO INFORMADO,62,52,2,0
